note_id,account_id,company,note_type,author,created_date,note_content,follow_up_required,follow_up_date
NOTE-00584,ACC-0096,RapidFix Electrical Partners,Upsell Attempt,Omar Castillo,2025-01-06,Presented Analytics Add-On demo. Customer considering cancellation.,Yes,
NOTE-00585,ACC-0558,TrustWorks Pest Control Technologies,Renewal Discussion,Tanya Oluoch,2024-01-12,Renewal proposal sent. Upsell discussed: Analytics Add-On.,Yes,2024-01-15
NOTE-00586,ACC-0341,Heritage Facilities Management Systems,QBR,Sadia Islam,2024-03-25,"QBR held with the GM. Reviewed usage metrics, discussed reporting. Customer neutral.",No,
NOTE-00587,ACC-0342,Metro HVAC Partners,Escalation,Ravi Mehta,2025-04-16,Customer escalated billing issue. Resolved within 18 hours.,No,
NOTE-00588,ACC-0033,Pinnacle HVAC Experts,Email,Tanya Oluoch,2025-01-19,Customer replied re: pricing. positive.,No,
NOTE-00589,ACC-0355,Premier Electrical Group,Escalation,Sadia Islam,2023-08-19,Customer escalated billing issue. Resolved within 17 hours.,No,
NOTE-00590,ACC-0293,National Plumbing Experts,QBR,Ravi Mehta,2024-02-11,Quarterly review completed. Key wins discussed. Upsell opportunity: escalate to VP CS.,No,
NOTE-00591,ACC-0387,Premier Facilities Management Solutions,Call,Ravi Mehta,2023-07-26,Check-in call completed. Customer considering cancellation. Next step: schedule follow-up.,No,
NOTE-00592,ACC-0402,BlueStar Electrical Solutions,Upsell Attempt,Jordan Blake,2023-07-02,Discussed seat expansion — customer added 4 techs. MRR increase: $129.,Yes,
NOTE-00593,ACC-0253,Summit Pest Control Experts,Call,Sadia Islam,2023-04-14,Check-in call completed. Customer positive. Next step: escalate to VP CS.,No,
NOTE-00594,ACC-0476,Dynamic Other Services,Call,Omar Castillo,2023-10-02,Check-in call completed. Customer neutral. Next step: send upsell proposal.,Yes,
NOTE-00595,ACC-0623,Pinnacle Landscaping Group,QBR,Ravi Mehta,2024-11-15,"QBR held with ops director. Reviewed usage metrics, discussed QuickBooks integration. Customer neutral.",No,2024-11-18
NOTE-00596,ACC-0196,Regional HVAC Professionals,Renewal Discussion,Jordan Blake,2024-01-30,Renewal discussion initiated. Contract ends in 90 days. Customer frustrated.,No,
NOTE-00597,ACC-0286,Pinnacle Facilities Management Professionals,Email,Omar Castillo,2023-12-20,Followed up on mobile app adoption. No response yet.,No,
NOTE-00598,ACC-0425,Regional Plumbing Associates,Escalation,Omar Castillo,2025-02-12,Customer escalated billing issue. Resolved within 14 hours.,Yes,2025-02-18
NOTE-00599,ACC-0525,National Other Solutions,Email,Sadia Islam,2023-11-12,Customer replied re: mobile app adoption. positive.,Yes,2023-11-20
NOTE-00600,ACC-0002,Premier HVAC Associates,Call,Sadia Islam,2024-08-03,Spoke with IT lead re: mobile app adoption. Action: send documentation.,No,
NOTE-00601,ACC-0438,SwiftLine Electrical Professionals,Renewal Discussion,Tanya Oluoch,2024-10-02,Renewal proposal sent. Upsell discussed: Analytics Add-On.,Yes,2024-10-09
NOTE-00602,ACC-0561,BlueStar Other Works,Upsell Attempt,Omar Castillo,2023-10-09,Presented Analytics Add-On demo. Customer positive.,No,
NOTE-00603,ACC-0078,SwiftLine Pest Control Professionals,Renewal Discussion,Tanya Oluoch,2023-10-11,Renewal discussion initiated. Contract ends in 75 days. Customer neutral.,No,
NOTE-00604,ACC-0101,ProServ Plumbing Technologies,Escalation,Sadia Islam,2023-07-29,Escalated ticket re: QuickBooks sync. Engineering engaged.,Yes,
NOTE-00605,ACC-0287,Pinnacle Facilities Management Group,Upsell Attempt,Felix Brennan,2023-08-30,Discussed seat expansion — customer added 5 techs. MRR increase: $181.,No,2023-09-02
NOTE-00606,ACC-0621,Summit Plumbing Technologies,Call,Ravi Mehta,2024-01-28,Spoke with ops director re: reporting. Action: send documentation.,Yes,2024-02-08
NOTE-00607,ACC-0439,Reliable HVAC Professionals,Email,Sadia Islam,2025-02-03,Sent renewal email — awaiting response.,Yes,2025-02-17
NOTE-00608,ACC-0217,BlueStar HVAC Professionals,Call,Ravi Mehta,2023-01-28,Check-in call completed. Customer positive. Next step: send upsell proposal.,No,2023-02-06
NOTE-00609,ACC-0506,SwiftLine Electrical Solutions,Health Check,Omar Castillo,2024-05-20,Weekly health check — score 88.0. Mobile adoption at risk.,Yes,
NOTE-00610,ACC-0628,ProServ HVAC Works,Upsell Attempt,Felix Brennan,2023-06-02,Presented Analytics Add-On demo. Customer considering cancellation.,Yes,2023-06-10
NOTE-00611,ACC-0254,Pinnacle HVAC Partners,Email,Lena Fischer,2023-06-21,Customer replied re: scheduling features. frustrated.,No,
NOTE-00612,ACC-0029,Regional HVAC Works,Health Check,Sadia Islam,2023-04-17,Weekly health check — score 76.4. Mobile adoption at risk.,No,
NOTE-00613,ACC-0178,Premier Other Systems,Call,Sadia Islam,2024-10-28,Spoke with office manager re: mobile app adoption. Action: escalate to VP CS.,Yes,2024-11-09
NOTE-00614,ACC-0500,National Electrical Technologies,Call,Felix Brennan,2024-06-19,Check-in call completed. Customer neutral. Next step: escalate to VP CS.,Yes,
NOTE-00615,ACC-0259,OneCall Landscaping Services,Call,Tanya Oluoch,2024-03-19,Spoke with IT lead re: reporting. Action: send documentation.,No,2024-03-26
NOTE-00616,ACC-0351,RapidFix Facilities Management Experts,Upsell Attempt,Ravi Mehta,2024-06-17,Discussed seat expansion — customer added 3 techs. MRR increase: $232.,No,2024-06-21
NOTE-00617,ACC-0454,Premier Plumbing Solutions,Email,Ravi Mehta,2023-08-08,Followed up on billing. No response yet.,No,2023-08-22
NOTE-00618,ACC-0330,SwiftLine Facilities Management Partners,Call,Felix Brennan,2023-12-25,Spoke with ops director re: reporting. Action: send documentation.,No,
NOTE-00619,ACC-0285,TrustWorks Facilities Management Services,Escalation,Felix Brennan,2023-05-02,Customer escalated billing issue. Resolved within 16 hours.,No,2023-05-13
NOTE-00620,ACC-0124,Heritage Facilities Management Technologies,Escalation,Jordan Blake,2024-11-15,Customer escalated billing issue. Resolved within 13 hours.,No,
NOTE-00621,ACC-0178,Premier Other Systems,Call,Sadia Islam,2023-11-04,Spoke with IT lead re: scheduling features. Action: schedule follow-up.,No,2023-11-15
NOTE-00622,ACC-0257,Premier Electrical Solutions,Health Check,Tanya Oluoch,2023-05-13,Weekly health check — score 66.3. Mobile adoption at risk.,No,
NOTE-00623,ACC-0563,ProServ Plumbing Professionals,Call,Sadia Islam,2023-02-22,Spoke with the GM re: QuickBooks integration. Action: schedule follow-up.,No,
NOTE-00624,ACC-0187,OneCall HVAC Group,Call,Jordan Blake,2023-02-06,Spoke with office manager re: QuickBooks integration. Action: schedule follow-up.,Yes,2023-02-14
NOTE-00625,ACC-0266,Dynamic HVAC Experts,QBR,Ravi Mehta,2023-03-25,"QBR held with the owner. Reviewed usage metrics, discussed pricing. Customer excited about new features.",Yes,2023-03-29
NOTE-00626,ACC-0024,Dynamic HVAC Systems,Call,Omar Castillo,2024-11-19,Spoke with ops director re: scheduling features. Action: send upsell proposal.,No,
NOTE-00627,ACC-0585,National Facilities Management Solutions,Renewal Discussion,Felix Brennan,2024-06-22,Renewal discussion initiated. Contract ends in 57 days. Customer neutral.,Yes,
NOTE-00628,ACC-0307,Regional Facilities Management Systems,Call,Sadia Islam,2023-01-05,Check-in call completed. Customer positive. Next step: schedule follow-up.,No,2023-01-13
NOTE-00629,ACC-0051,Allied Facilities Management Systems,Renewal Discussion,Felix Brennan,2024-07-09,Renewal proposal sent. Upsell discussed: Analytics Add-On.,No,
NOTE-00630,ACC-0166,Metro HVAC Experts,Upsell Attempt,Jordan Blake,2023-02-21,Discussed seat expansion — customer added 5 techs. MRR increase: $313.,No,
NOTE-00631,ACC-0023,TrustWorks Electrical Solutions,Upsell Attempt,Sadia Islam,2024-08-20,Discussed seat expansion — customer added 4 techs. MRR increase: $156.,No,
NOTE-00632,ACC-0064,RapidFix Facilities Management Services,Call,Felix Brennan,2023-10-30,Check-in call completed. Customer frustrated. Next step: send documentation.,Yes,2023-11-11
NOTE-00633,ACC-0590,ProServ Plumbing Experts,Email,Felix Brennan,2023-10-13,Customer replied re: mobile app adoption. neutral.,No,
NOTE-00634,ACC-0503,Summit HVAC Systems,Call,Felix Brennan,2023-11-16,Spoke with the GM re: pricing. Action: loop in SE.,Yes,
NOTE-00635,ACC-0310,ProServ Other Associates,Email,Felix Brennan,2024-11-01,Followed up on billing. No response yet.,No,
NOTE-00636,ACC-0049,Allied Electrical Associates,Call,Emma Solis,2023-07-13,Spoke with IT lead re: QuickBooks integration. Action: loop in SE.,Yes,2023-07-21
NOTE-00637,ACC-0089,Dynamic HVAC Systems,Email,Felix Brennan,2024-06-29,Customer replied re: pricing. excited about new features.,No,2024-07-05
NOTE-00638,ACC-0555,Allied Landscaping Works,QBR,Sadia Islam,2024-01-20,"QBR held with the owner. Reviewed usage metrics, discussed mobile app adoption. Customer neutral.",No,
NOTE-00639,ACC-0347,ProServ Electrical Professionals,Health Check,Lena Fischer,2024-09-03,Health score reviewed: 72.8. Status: Green. escalate to VP CS flagged.,No,2024-09-12
NOTE-00640,ACC-0400,Metro Pest Control Partners,Email,Jordan Blake,2024-07-15,Sent renewal email — awaiting response.,No,2024-07-19
NOTE-00641,ACC-0581,Regional HVAC Experts,QBR,Emma Solis,2023-04-30,"QBR held with the owner. Reviewed usage metrics, discussed scheduling features. Customer considering cancellation.",Yes,2023-05-08
NOTE-00642,ACC-0272,Dynamic Landscaping Associates,Upsell Attempt,Ravi Mehta,2024-08-05,Discussed seat expansion — customer added 5 techs. MRR increase: $161.,No,
NOTE-00643,ACC-0513,TrustWorks Facilities Management Group,Health Check,Jordan Blake,2023-12-05,Weekly health check — score 63.4. Mobile adoption at risk.,No,
NOTE-00644,ACC-0042,National HVAC Associates,Renewal Discussion,Omar Castillo,2023-08-07,Renewal proposal sent. Upsell discussed: Analytics Add-On.,No,2023-08-18
NOTE-00645,ACC-0048,TrustWorks Plumbing Systems,Health Check,Omar Castillo,2023-03-13,Health score reviewed: 79.4. Status: Green. send upsell proposal flagged.,No,
NOTE-00646,ACC-0222,RapidFix Pest Control Services,Call,Jordan Blake,2023-07-15,Spoke with IT lead re: scheduling features. Action: send upsell proposal.,Yes,
NOTE-00647,ACC-0244,Pinnacle Electrical Professionals,Health Check,Ravi Mehta,2024-04-02,Weekly health check — score 64.9. Mobile adoption at risk.,Yes,
NOTE-00648,ACC-0062,BlueStar HVAC Experts,Email,Tanya Oluoch,2023-04-23,Sent renewal email — awaiting response.,No,
NOTE-00649,ACC-0027,Pinnacle Facilities Management Systems,QBR,Omar Castillo,2023-12-03,"QBR held with IT lead. Reviewed usage metrics, discussed mobile app adoption. Customer frustrated.",No,2023-12-09
NOTE-00650,ACC-0088,Allied Facilities Management Solutions,QBR,Lena Fischer,2025-05-12,Quarterly review completed. Key wins discussed. Upsell opportunity: loop in SE.,No,2025-05-17
NOTE-00651,ACC-0421,RapidFix HVAC Professionals,QBR,Emma Solis,2024-06-10,"QBR held with the owner. Reviewed usage metrics, discussed scheduling features. Customer excited about new features.",Yes,2024-06-20
NOTE-00652,ACC-0041,Metro HVAC Technologies,Health Check,Felix Brennan,2023-08-12,Health score reviewed: 70.4. Status: Green. send upsell proposal flagged.,Yes,
NOTE-00653,ACC-0177,BlueStar Pest Control Associates,Email,Tanya Oluoch,2024-06-27,Customer replied re: billing. positive.,No,2024-07-05
NOTE-00654,ACC-0098,BlueStar Landscaping Experts,QBR,Omar Castillo,2024-04-05,Quarterly review completed. Key wins discussed. Upsell opportunity: loop in SE.,No,
NOTE-00655,ACC-0143,OneCall Plumbing Works,Renewal Discussion,Ravi Mehta,2023-12-20,Renewal proposal sent. Upsell discussed: Analytics Add-On.,No,
NOTE-00656,ACC-0452,Allied HVAC Technologies,QBR,Tanya Oluoch,2025-03-28,Quarterly review completed. Key wins discussed. Upsell opportunity: escalate to VP CS.,Yes,
NOTE-00657,ACC-0271,Premier Facilities Management Works,Call,Lena Fischer,2024-08-24,Spoke with office manager re: mobile app adoption. Action: loop in SE.,No,
NOTE-00658,ACC-0149,Metro Electrical Technologies,Renewal Discussion,Omar Castillo,2024-03-07,Renewal proposal sent. Upsell discussed: Analytics Add-On.,Yes,
NOTE-00659,ACC-0414,Summit HVAC Systems,Email,Ravi Mehta,2024-02-16,Followed up on pricing. No response yet.,Yes,2024-02-24
NOTE-00660,ACC-0493,BlueStar Electrical Services,Health Check,Omar Castillo,2024-05-20,Health score reviewed: 66.8. Status: Yellow. send upsell proposal flagged.,Yes,
NOTE-00661,ACC-0449,Summit HVAC Group,QBR,Ravi Mehta,2024-03-22,"QBR held with office manager. Reviewed usage metrics, discussed billing. Customer excited about new features.",Yes,
NOTE-00662,ACC-0471,Summit HVAC Works,Call,Emma Solis,2025-03-06,Check-in call completed. Customer considering cancellation. Next step: send documentation.,No,2025-03-16
NOTE-00663,ACC-0459,TrustWorks Facilities Management Group,Call,Lena Fischer,2024-03-02,Check-in call completed. Customer neutral. Next step: schedule follow-up.,Yes,2024-03-09
NOTE-00664,ACC-0140,TrustWorks Plumbing Associates,Renewal Discussion,Emma Solis,2025-05-15,Renewal discussion initiated. Contract ends in 42 days. Customer neutral.,No,
NOTE-00665,ACC-0053,National Pest Control Technologies,Call,Omar Castillo,2025-06-01,Spoke with the owner re: mobile app adoption. Action: escalate to VP CS.,No,
NOTE-00666,ACC-0382,Dynamic Electrical Solutions,Call,Ravi Mehta,2023-04-26,Spoke with office manager re: scheduling features. Action: loop in SE.,No,
NOTE-00667,ACC-0472,Heritage Pest Control Solutions,Email,Emma Solis,2024-12-03,Sent renewal email — awaiting response.,Yes,2024-12-08
NOTE-00668,ACC-0602,RapidFix HVAC Professionals,Email,Jordan Blake,2024-01-08,Customer replied re: billing. excited about new features.,No,2024-01-13
NOTE-00669,ACC-0165,Allied Facilities Management Experts,Call,Sadia Islam,2025-02-15,Spoke with IT lead re: billing. Action: schedule follow-up.,No,2025-02-22
NOTE-00670,ACC-0090,Pinnacle HVAC Works,Renewal Discussion,Ravi Mehta,2025-04-04,Renewal proposal sent. Upsell discussed: Analytics Add-On.,Yes,
NOTE-00671,ACC-0080,TrustWorks Electrical Services,QBR,Felix Brennan,2024-12-31,"QBR held with the GM. Reviewed usage metrics, discussed mobile app adoption. Customer frustrated.",No,2025-01-12
NOTE-00672,ACC-0386,RapidFix Electrical Systems,Call,Tanya Oluoch,2023-07-26,Check-in call completed. Customer excited about new features. Next step: schedule follow-up.,Yes,2023-08-03
NOTE-00673,ACC-0492,SwiftLine Pest Control Experts,Health Check,Ravi Mehta,2023-05-06,Weekly health check — score 53.6. Mobile adoption at risk.,Yes,2023-05-11
NOTE-00674,ACC-0133,Metro Pest Control Technologies,Call,Felix Brennan,2024-04-05,Spoke with IT lead re: scheduling features. Action: loop in SE.,No,2024-04-09
NOTE-00675,ACC-0614,Dynamic Pest Control Systems,Health Check,Lena Fischer,2024-04-07,Health score reviewed: 72.2. Status: Green. schedule follow-up flagged.,Yes,
NOTE-00676,ACC-0631,Elite HVAC Systems,Upsell Attempt,Sadia Islam,2024-08-15,Presented Analytics Add-On demo. Customer excited about new features.,No,
NOTE-00677,ACC-0120,National Plumbing Group,Escalation,Tanya Oluoch,2023-04-06,Customer escalated billing issue. Resolved within 3 hours.,No,
NOTE-00678,ACC-0402,BlueStar Electrical Solutions,Call,Jordan Blake,2025-04-20,Check-in call completed. Customer frustrated. Next step: schedule follow-up.,No,
NOTE-00679,ACC-0355,Premier Electrical Group,Call,Sadia Islam,2023-07-25,Check-in call completed. Customer neutral. Next step: send documentation.,No,
NOTE-00680,ACC-0615,Elite HVAC Systems,Call,Lena Fischer,2023-12-15,Spoke with ops director re: mobile app adoption. Action: loop in SE.,No,
NOTE-00681,ACC-0447,Regional Facilities Management Services,Email,Jordan Blake,2024-04-29,Followed up on mobile app adoption. No response yet.,No,2024-05-08
NOTE-00682,ACC-0242,National Electrical Solutions,Escalation,Emma Solis,2023-06-20,Customer escalated billing issue. Resolved within 16 hours.,No,
NOTE-00683,ACC-0068,Reliable Pest Control Partners,Upsell Attempt,Felix Brennan,2024-02-20,Presented Analytics Add-On demo. Customer considering cancellation.,Yes,2024-02-26
NOTE-00684,ACC-0273,BlueStar Facilities Management Works,Health Check,Emma Solis,2024-10-11,Weekly health check — score 61.6. Mobile adoption at risk.,No,
NOTE-00685,ACC-0318,OneCall Plumbing Systems,Email,Omar Castillo,2023-12-03,Sent renewal email — awaiting response.,No,2023-12-08
NOTE-00686,ACC-0389,Premier HVAC Partners,Health Check,Jordan Blake,2024-05-06,Health score reviewed: 61.0. Status: Yellow. send upsell proposal flagged.,No,
NOTE-00687,ACC-0289,Metro Facilities Management Systems,Health Check,Lena Fischer,2023-04-29,Health score reviewed: 69.6. Status: Yellow. send upsell proposal flagged.,No,
NOTE-00688,ACC-0344,Pinnacle Plumbing Partners,Escalation,Omar Castillo,2025-03-07,Escalated ticket re: QuickBooks sync. Engineering engaged.,No,
NOTE-00689,ACC-0223,Regional HVAC Works,Call,Jordan Blake,2024-09-27,Check-in call completed. Customer considering cancellation. Next step: send documentation.,No,
NOTE-00690,ACC-0165,Allied Facilities Management Experts,Call,Sadia Islam,2024-05-05,Check-in call completed. Customer considering cancellation. Next step: schedule follow-up.,No,
NOTE-00691,ACC-0530,National HVAC Professionals,Upsell Attempt,Tanya Oluoch,2024-07-31,Presented Analytics Add-On demo. Customer frustrated.,No,2024-08-13
NOTE-00692,ACC-0330,SwiftLine Facilities Management Partners,Email,Felix Brennan,2024-01-07,Sent renewal email — awaiting response.,No,2024-01-18
NOTE-00693,ACC-0342,Metro HVAC Partners,Email,Ravi Mehta,2024-10-11,Followed up on billing. No response yet.,Yes,2024-10-22
NOTE-00694,ACC-0127,Heritage Plumbing Solutions,Upsell Attempt,Lena Fischer,2023-11-09,Discussed seat expansion — customer added 3 techs. MRR increase: $403.,No,
NOTE-00695,ACC-0209,Heritage Pest Control Partners,Health Check,Ravi Mehta,2023-03-13,Weekly health check — score 57.5. Mobile adoption at risk.,No,2023-03-16
NOTE-00696,ACC-0092,Summit Electrical Professionals,Call,Emma Solis,2023-05-26,Spoke with the owner re: reporting. Action: send upsell proposal.,Yes,2023-05-29
NOTE-00697,ACC-0367,ProServ Plumbing Experts,Renewal Discussion,Emma Solis,2023-09-08,Renewal discussion initiated. Contract ends in 44 days. Customer considering cancellation.,No,2023-09-13
NOTE-00698,ACC-0156,Regional Electrical Associates,Health Check,Omar Castillo,2023-06-18,Weekly health check — score 72.2. Mobile adoption at risk.,No,
NOTE-00699,ACC-0207,RapidFix HVAC Solutions,Health Check,Omar Castillo,2023-06-12,Health score reviewed: 58.1. Status: Yellow. escalate to VP CS flagged.,Yes,
NOTE-00700,ACC-0493,BlueStar Electrical Services,QBR,Omar Castillo,2023-12-02,Quarterly review completed. Key wins discussed. Upsell opportunity: escalate to VP CS.,No,2023-12-06
NOTE-00701,ACC-0145,SwiftLine Plumbing Technologies,Call,Lena Fischer,2024-01-08,Check-in call completed. Customer neutral. Next step: schedule follow-up.,Yes,
NOTE-00702,ACC-0265,RapidFix Pest Control Services,Email,Felix Brennan,2024-08-18,Sent renewal email — awaiting response.,No,2024-08-31
NOTE-00703,ACC-0089,Dynamic HVAC Systems,Email,Felix Brennan,2023-06-29,Sent renewal email — awaiting response.,Yes,
NOTE-00704,ACC-0356,Allied HVAC Services,Email,Sadia Islam,2023-08-21,Sent renewal email — awaiting response.,No,
NOTE-00705,ACC-0611,TrustWorks Plumbing Associates,Email,Emma Solis,2024-01-12,Sent renewal email — awaiting response.,No,
NOTE-00706,ACC-0593,Apex Plumbing Professionals,Health Check,Sadia Islam,2024-08-16,Health score reviewed: 58.4. Status: Yellow. send upsell proposal flagged.,Yes,2024-08-25
NOTE-00707,ACC-0349,BlueStar Electrical Services,Upsell Attempt,Omar Castillo,2025-01-11,Presented Analytics Add-On demo. Customer frustrated.,No,2025-01-20
NOTE-00708,ACC-0106,Reliable Plumbing Associates,Upsell Attempt,Sadia Islam,2025-02-22,Presented Analytics Add-On demo. Customer positive.,No,
NOTE-00709,ACC-0030,Premier HVAC Group,Call,Ravi Mehta,2024-11-05,Check-in call completed. Customer frustrated. Next step: send upsell proposal.,No,
NOTE-00710,ACC-0617,Apex Electrical Professionals,Renewal Discussion,Sadia Islam,2024-04-30,Renewal discussion initiated. Contract ends in 36 days. Customer frustrated.,No,2024-05-08
NOTE-00711,ACC-0272,Dynamic Landscaping Associates,Call,Ravi Mehta,2025-04-24,Check-in call completed. Customer frustrated. Next step: send upsell proposal.,No,
NOTE-00712,ACC-0107,RapidFix Landscaping Partners,Email,Felix Brennan,2024-11-27,Customer replied re: scheduling features. considering cancellation.,No,
NOTE-00713,ACC-0625,Allied Plumbing Technologies,Health Check,Sadia Islam,2023-06-14,Health score reviewed: 61.2. Status: Yellow. send documentation flagged.,No,2023-06-25
NOTE-00714,ACC-0537,BlueStar HVAC Services,Email,Emma Solis,2023-01-15,Followed up on scheduling features. No response yet.,No,2023-01-28
NOTE-00715,ACC-0611,TrustWorks Plumbing Associates,Call,Emma Solis,2023-04-15,Check-in call completed. Customer frustrated. Next step: send upsell proposal.,No,2023-04-24
NOTE-00716,ACC-0345,National HVAC Associates,Call,Ravi Mehta,2024-03-31,Check-in call completed. Customer excited about new features. Next step: escalate to VP CS.,No,
NOTE-00717,ACC-0387,Premier Facilities Management Solutions,Email,Ravi Mehta,2024-02-11,Sent renewal email — awaiting response.,No,2024-02-21
NOTE-00718,ACC-0121,BlueStar HVAC Experts,Email,Emma Solis,2024-05-20,Followed up on reporting. No response yet.,No,
NOTE-00719,ACC-0178,Premier Other Systems,Email,Sadia Islam,2023-01-11,Sent renewal email — awaiting response.,No,
NOTE-00720,ACC-0070,Pinnacle HVAC Partners,Email,Tanya Oluoch,2023-02-24,Sent renewal email — awaiting response.,No,2023-03-07
NOTE-00721,ACC-0096,RapidFix Electrical Partners,Upsell Attempt,Omar Castillo,2024-12-04,Discussed seat expansion — customer added 2 techs. MRR increase: $196.,No,2024-12-18
NOTE-00722,ACC-0070,Pinnacle HVAC Partners,Call,Tanya Oluoch,2023-11-26,Spoke with office manager re: scheduling features. Action: schedule follow-up.,No,2023-12-07
NOTE-00723,ACC-0372,ProServ Electrical Associates,Email,Omar Castillo,2025-01-19,Sent renewal email — awaiting response.,No,
NOTE-00724,ACC-0063,TrustWorks Plumbing Solutions,Upsell Attempt,Lena Fischer,2024-01-31,Presented Analytics Add-On demo. Customer excited about new features.,Yes,
NOTE-00725,ACC-0002,Premier HVAC Associates,QBR,Sadia Islam,2024-12-16,"QBR held with the GM. Reviewed usage metrics, discussed scheduling features. Customer neutral.",No,
NOTE-00726,ACC-0027,Pinnacle Facilities Management Systems,QBR,Omar Castillo,2024-02-25,"QBR held with ops director. Reviewed usage metrics, discussed mobile app adoption. Customer frustrated.",Yes,
NOTE-00727,ACC-0584,Reliable Electrical Technologies,Renewal Discussion,Emma Solis,2023-01-21,Renewal discussion initiated. Contract ends in 84 days. Customer excited about new features.,Yes,
NOTE-00728,ACC-0571,TrustWorks HVAC Partners,Email,Jordan Blake,2023-01-02,Sent renewal email — awaiting response.,No,
NOTE-00729,ACC-0633,Heritage Plumbing Systems,Renewal Discussion,Omar Castillo,2023-04-22,Renewal proposal sent. Upsell discussed: Analytics Add-On.,No,2023-05-02
NOTE-00730,ACC-0621,Summit Plumbing Technologies,Call,Ravi Mehta,2024-10-15,Spoke with IT lead re: billing. Action: send upsell proposal.,Yes,
NOTE-00731,ACC-0017,Elite HVAC Technologies,Call,Jordan Blake,2024-10-13,Spoke with the GM re: scheduling features. Action: send upsell proposal.,No,2024-10-20
NOTE-00732,ACC-0433,Regional HVAC Works,Email,Felix Brennan,2023-11-18,Sent renewal email — awaiting response.,Yes,
NOTE-00733,ACC-0106,Reliable Plumbing Associates,Email,Sadia Islam,2023-01-22,Sent renewal email — awaiting response.,Yes,
NOTE-00734,ACC-0231,Allied HVAC Associates,Email,Emma Solis,2023-05-22,Followed up on scheduling features. No response yet.,No,2023-06-02
NOTE-00735,ACC-0599,National Pest Control Partners,Health Check,Felix Brennan,2023-10-05,Health score reviewed: 59.4. Status: Yellow. send documentation flagged.,No,2023-10-17
NOTE-00736,ACC-0581,Regional HVAC Experts,Email,Emma Solis,2023-02-16,Customer replied re: reporting. neutral.,No,2023-03-02
NOTE-00737,ACC-0326,RapidFix HVAC Works,Health Check,Omar Castillo,2024-11-28,Health score reviewed: 84.2. Status: Green. loop in SE flagged.,Yes,
NOTE-00738,ACC-0053,National Pest Control Technologies,Renewal Discussion,Omar Castillo,2024-06-12,Renewal proposal sent. Upsell discussed: Analytics Add-On.,No,2024-06-18
NOTE-00739,ACC-0504,Heritage Pest Control Solutions,Email,Ravi Mehta,2025-05-30,Followed up on reporting. No response yet.,No,2025-06-02
NOTE-00740,ACC-0410,Regional Plumbing Services,Health Check,Omar Castillo,2025-04-30,Health score reviewed: 82.2. Status: Green. escalate to VP CS flagged.,No,
NOTE-00741,ACC-0365,Elite HVAC Technologies,Health Check,Lena Fischer,2024-03-28,Weekly health check — score 73.2. Mobile adoption at risk.,Yes,
NOTE-00742,ACC-0511,Metro HVAC Solutions,Escalation,Ravi Mehta,2024-08-26,Escalated ticket re: QuickBooks sync. Engineering engaged.,No,
NOTE-00743,ACC-0297,Premier Electrical Professionals,Health Check,Omar Castillo,2024-04-14,Weekly health check — score 86.2. Mobile adoption at risk.,No,
NOTE-00744,ACC-0473,Apex Plumbing Group,Health Check,Omar Castillo,2024-02-15,Health score reviewed: 57.2. Status: Yellow. schedule follow-up flagged.,No,
NOTE-00745,ACC-0466,Allied HVAC Group,Email,Felix Brennan,2023-04-29,Followed up on scheduling features. No response yet.,Yes,
NOTE-00746,ACC-0339,Metro Facilities Management Services,Email,Ravi Mehta,2024-02-05,Followed up on mobile app adoption. No response yet.,No,
NOTE-00747,ACC-0305,Allied Pest Control Partners,Email,Emma Solis,2024-09-11,Customer replied re: reporting. excited about new features.,No,
NOTE-00748,ACC-0528,Summit Facilities Management Professionals,Call,Felix Brennan,2023-01-19,Spoke with office manager re: reporting. Action: send documentation.,No,2023-01-26
NOTE-00749,ACC-0124,Heritage Facilities Management Technologies,Renewal Discussion,Jordan Blake,2024-05-06,Renewal discussion initiated. Contract ends in 69 days. Customer positive.,Yes,
NOTE-00750,ACC-0011,ProServ Plumbing Works,Call,Omar Castillo,2024-01-14,Check-in call completed. Customer excited about new features. Next step: send documentation.,No,2024-01-28
NOTE-00751,ACC-0030,Premier HVAC Group,Escalation,Ravi Mehta,2023-10-05,Escalated ticket re: QuickBooks sync. Engineering engaged.,Yes,2023-10-10
NOTE-00752,ACC-0598,Apex Electrical Associates,Call,Emma Solis,2025-05-03,Check-in call completed. Customer considering cancellation. Next step: send upsell proposal.,No,
NOTE-00753,ACC-0553,OneCall Plumbing Services,Email,Lena Fischer,2024-08-14,Sent renewal email — awaiting response.,No,
NOTE-00754,ACC-0202,Premier Landscaping Professionals,Renewal Discussion,Emma Solis,2025-02-25,Renewal discussion initiated. Contract ends in 88 days. Customer considering cancellation.,No,
NOTE-00755,ACC-0492,SwiftLine Pest Control Experts,Call,Ravi Mehta,2024-10-26,Check-in call completed. Customer frustrated. Next step: escalate to VP CS.,Yes,2024-11-03
NOTE-00756,ACC-0084,ProServ Plumbing Associates,Call,Jordan Blake,2023-12-18,Check-in call completed. Customer frustrated. Next step: send documentation.,Yes,
NOTE-00757,ACC-0517,SwiftLine HVAC Technologies,Escalation,Omar Castillo,2024-06-22,Customer escalated billing issue. Resolved within 7 hours.,Yes,2024-07-06
NOTE-00758,ACC-0487,OneCall Landscaping Associates,Upsell Attempt,Omar Castillo,2025-04-01,Presented Analytics Add-On demo. Customer neutral.,No,
